status,msrp_enabled,store_id,weight,color,image,options_container,qty,images,image_urls,is_qty_decimal,sku,use_config_enable_qty_increments,use_config_notify_stock_qty,msrp_display_actual_price_type,page_layout,tax_class_id,gift_message_available,short_description,attribute_set,stock_status_changed_automatically,size,type,thumbnail,store,product_type_id,use_config_manage_stock,meta_title,backorders,description,min_sale_qty,price,max_sale_qty,is_in_stock,is_decimal_divided,visibility,use_config_enable_qty_inc,min_qty,qty_increments,categories,manage_stock,enable_qty_increments,name,sizes,use_config_min_sale_qty,small_image,stock_status_changed_auto,websites,product_name,use_config_min_qty,use_config_max_sale_qty,use_config_qty_increments,has_options,use_config_backorders,image_paths
,Use config,0,1,Black,full/e03ff947babc76756dd93892872e6110d16a3213.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000018624_NS1003537],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000018626_Black_S,1,1,Use config,No layout updates,,No,,ColorAndSize,0,S,,full/e03ff947babc76756dd93892872e6110d16a3213.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/e03ff947babc76756dd93892872e6110d16a3213.jpg,0,base,,1,1,1,0,1,full/e03ff947babc76756dd93892872e6110d16a3213.jpg
,Use config,0,1,,full/e03ff947babc76756dd93892872e6110d16a3213.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000018624_NS1003537],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000018626,1,1,Use config,No layout updates,,No,,ColorAndSize,0,,,full/e03ff947babc76756dd93892872e6110d16a3213.jpg,admin,simple,1,,0,"Features: Printed, Crossover BackLength: 14.5inMaterial: Nylon/Spandex, Solid: Spandex/SpandexImportedHand Washstyle #:1000018621",1,,0,,0,,1,0,0,/tjmaxx/clearance,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/e03ff947babc76756dd93892872e6110d16a3213.jpg,0,base,,1,1,1,0,1,full/e03ff947babc76756dd93892872e6110d16a3213.jpg
,Use config,0,1,Black,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000018621_NS1003537],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000018621_Black_M,1,1,Use config,No layout updates,,No,,ColorAndSize,0,M,,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg,0,base,,1,1,1,0,1,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg
,Use config,0,1,Black,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000018621_NS1003537],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000018621_Black_L,1,1,Use config,No layout updates,,No,,ColorAndSize,0,L,,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg,0,base,,1,1,1,0,1,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg
,Use config,0,1,,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000018621_NS1003537],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000018621,1,1,Use config,No layout updates,,No,,ColorAndSize,0,,,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg,admin,simple,1,,0,"Features: Printed, Crossover BackLength: 14.5inMaterial: Nylon/Spandex, Solid: Spandex/SpandexImportedHand Washstyle #:1000018621",1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg,0,base,,1,1,1,0,1,full/c61a05c773fc66e8f2a828768278b7287e5f3f81.jpg
,Use config,0,1,,full/66327a2d5330653b8976f4dbd13be96af6a39b83.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000019153_NS1003426],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000019153,1,1,Use config,No layout updates,,No,,,0,,,full/66327a2d5330653b8976f4dbd13be96af6a39b83.jpg,admin,simple,1,,0,Length: 11inMaterial: Polyamide/ElastaneImportedHand Washstyle #:1000019153,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Profile By Gottex</H1>",,1,full/66327a2d5330653b8976f4dbd13be96af6a39b83.jpg,0,base,,1,1,1,0,1,full/66327a2d5330653b8976f4dbd13be96af6a39b83.jpg
,Use config,0,1,Pink,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000021099_NS1003516],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000021099_Pink_OS,1,1,Use config,No layout updates,,No,,ColorAndSize,0,OS,,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance,0,0,"<H1 Class=""Product-Brand"">Madison 88</H1>",,1,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,0,base,,1,1,1,0,1,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg
,Use config,0,1,Blue,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000021099_NS1003516],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000021099_Blue_OS,1,1,Use config,No layout updates,,No,,ColorAndSize,0,OS,,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance,0,0,"<H1 Class=""Product-Brand"">Madison 88</H1>",,1,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,0,base,,1,1,1,0,1,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg
,Use config,0,1,Orange,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000021099_NS1003516],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000021099_Orange_OS,1,1,Use config,No layout updates,,No,,ColorAndSize,0,OS,,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance,0,0,"<H1 Class=""Product-Brand"">Madison 88</H1>",,1,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,0,base,,1,1,1,0,1,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg
,Use config,0,1,,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000021099_NS1003516],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000021099,1,1,Use config,No layout updates,,No,,ColorAndSize,0,,,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,admin,simple,1,,0,"Features: Feather, Stitching DetailMaterial: SeagrassImportedstyle #:1000021099",1,,0,,0,,1,0,0,/tjmaxx/clearance,0,0,"<H1 Class=""Product-Brand"">Madison 88</H1>",,1,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg,0,base,,1,1,1,0,1,full/a862a3a4c4bdd83b1518c46cccb1d6265192ad21.jpg
,Use config,0,1,Black,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000008510_NS1003537],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000008510_Black_14,1,1,Use config,No layout updates,,No,,ColorAndSize,0,14,,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,0,base,,1,1,1,0,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg
,Use config,0,1,Black,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000008510_NS1003537],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000008510_Black_6,1,1,Use config,No layout updates,,No,,ColorAndSize,0,6,,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,0,base,,1,1,1,0,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg
,Use config,0,1,Black,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000008510_NS1003537],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000008510_Black_12,1,1,Use config,No layout updates,,No,,ColorAndSize,0,12,,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,0,base,,1,1,1,0,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg
,Use config,0,1,Black,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000008510_NS1003537],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000008510_Black_8,1,1,Use config,No layout updates,,No,,ColorAndSize,0,8,,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,0,base,,1,1,1,0,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg
,Use config,0,1,Black,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000008510_NS1003537],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000008510_Black_10,1,1,Use config,No layout updates,,No,,ColorAndSize,0,10,,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,0,base,,1,1,1,0,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg
,Use config,0,1,Black,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000008510_NS1003537],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000008510_Black_4,1,1,Use config,No layout updates,,No,,ColorAndSize,0,4,,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,0,base,,1,1,1,0,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg
,Use config,0,1,Black,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000008510_NS1003537],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000008510_Black_2,1,1,Use config,No layout updates,,No,,ColorAndSize,0,2,,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,0,base,,1,1,1,0,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg
,Use config,0,1,,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000008510_NS1003537],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000008510,1,1,Use config,No layout updates,,No,,ColorAndSize,0,,,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,admin,simple,1,,0,"Features: Tassels, Metallic Accents, PrintedLength: 8inMaterial: Polyester/SpandexImportedHand Washstyle #:1000018626",1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg,0,base,,1,1,1,0,1,full/794bc8cda6c56cde5f77bdda2a49a2917d3eb407.jpg
,Use config,0,1,,full/e440712b6a6d8875b7706a0690b1c6bc360e4971.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000018623_NS1003640],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000018623,1,1,Use config,No layout updates,,No,,,0,,,full/e440712b6a6d8875b7706a0690b1c6bc360e4971.jpg,admin,simple,1,,0,"Features: Cut Outs, Double LayerLength: 4.5inMaterial: Polyester/Spandex, Shell 2: Polyester/SpandexImportedHand Washstyle #:1000018623",1,,0,,0,,1,0,0,/tjmaxx/clearance,0,0,"<H1 Class=""Product-Brand"">Raisins</H1>",,1,full/e440712b6a6d8875b7706a0690b1c6bc360e4971.jpg,0,base,,1,1,1,0,1,full/e440712b6a6d8875b7706a0690b1c6bc360e4971.jpg
,Use config,0,1,multi,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000023812_NS1003537],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000018627_multi_S,1,1,Use config,No layout updates,,No,,ColorAndSize,0,S,,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Philosophy</H1>",,1,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,0,base,,1,1,1,0,1,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg
,Use config,0,1,multi,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000023812_NS1003537],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000018627_multi_M,1,1,Use config,No layout updates,,No,,ColorAndSize,0,M,,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Philosophy</H1>",,1,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,0,base,,1,1,1,0,1,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg
,Use config,0,1,multi,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000023812_NS1003537],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000018627_multi_L,1,1,Use config,No layout updates,,No,,ColorAndSize,0,L,,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Philosophy</H1>",,1,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,0,base,,1,1,1,0,1,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg
,Use config,0,1,,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000023812_NS1003537],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000018627,1,1,Use config,No layout updates,,No,,ColorAndSize,0,,,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,admin,simple,1,,0,Sleeve: Short SleeveNeckline: V-NeckLength: 25inClosure: Pull OverFeatures: Floral PrintMaterial: PolyesterImportedMachine Washstyle #:1000023812,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Philosophy</H1>",,1,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg,0,base,,1,1,1,0,1,full/d087927426c9d1da7fb29fded4e656cf0c6a7cfa.jpg
,Use config,0,1,,full/fcdc73295c30df6fac6bcad40058e16f480d6d77.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000022205_NS1003625],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000019016,1,1,Use config,No layout updates,,No,,,0,,,full/fcdc73295c30df6fac6bcad40058e16f480d6d77.jpg,admin,simple,1,,0,"Sleeve: Long SleeveNeckline: Round NeckLength: 25inClosure: Tie NeckFeatures: Embroidered, PatternedMaterial: ViscoseImportedHand Washstyle #:1000022205",1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Olive &Amp; Oak</H1>",,1,full/fcdc73295c30df6fac6bcad40058e16f480d6d77.jpg,0,base,,1,1,1,0,1,full/fcdc73295c30df6fac6bcad40058e16f480d6d77.jpg
,Use config,0,1,Red,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000019011_NS1003426],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000019011_Red_S,1,1,Use config,No layout updates,,No,,ColorAndSize,0,S,,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Bcbgeneration</H1>",,1,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,0,base,,1,1,1,0,1,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg
,Use config,0,1,Red,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000019011_NS1003426],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000019011_Red_XS,1,1,Use config,No layout updates,,No,,ColorAndSize,0,XS,,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Bcbgeneration</H1>",,1,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,0,base,,1,1,1,0,1,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg
,Use config,0,1,Red,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000019011_NS1003426],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000019011_Red_M,1,1,Use config,No layout updates,,No,,ColorAndSize,0,M,,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Bcbgeneration</H1>",,1,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,0,base,,1,1,1,0,1,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg
,Use config,0,1,,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000019011_NS1003426],ag[no]&call=url[file:tjxrPRD2.chain]",0,1000019011,1,1,Use config,No layout updates,,No,,ColorAndSize,0,,,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,admin,simple,1,,0,Length: 6inMaterial: Nylon/SpandexImportedHand Washstyle #:1000019011,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Bcbgeneration</H1>",,1,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg,0,base,,1,1,1,0,1,full/da70c86c91c33d1e61ab342057202a78333b5a20.jpg
,Use config,0,1,Black,full/2deef2e9628e1ad262434137a2c50b0aba768b1b.jpg,Product Info Column,,,"http://img.tjmaxx.com/tjx?set=DisplayName[e3],prd[1000008510_NS1062297],ag[yes]&call=url[file:tjxrPRD2.chain]",0,1000011666_Black_14,1,1,Use config,No layout updates,,No,,ColorAndSize,0,14,,full/2deef2e9628e1ad262434137a2c50b0aba768b1b.jpg,admin,simple,1,,0,,1,,0,,0,,1,0,0,/tjmaxx/clearance/view all,0,0,"<H1 Class=""Product-Brand"">Naven</H1>",,1,full/2deef2e9628e1ad262434137a2c50b0aba768b1b.jpg,0,base,,1,1,1,0,1,full/2deef2e9628e1ad262434137a2c50b0aba768b1b.jpg
